0.000247,0.000247,0.000012,0.000012,0.000035,0.000011,-0.000146,-0.000152,0.000924,-0.000714,0.003841,-0.003800,-0.001514,0.001445,0.000087,0.000011,-0.000352
0.009410,0.009458,0.000799,0.000844,0.001456,0.001379,-0.001085,-0.001226,-0.001911,0.001740,-0.002868,0.002816,0.002231,-0.002152,0.000242,-0.000543,-0.002072
0.000102,0.000107,-0.000137,-0.000142,0.000140,0.000089,-0.000316,-0.000339,0.001243,-0.001252,-0.000297,0.000324,-0.000977,0.000942,-0.000275,0.000352,-0.000140
0.013848,0.013916,0.001200,0.001281,0.001678,0.000578,-0.006984,-0.007631,-0.005789,0.005508,-0.004329,0.004102,0.003792,-0.003647,0.000804,-0.001299,-0.003085
0.023900,0.023825,0.002675,0.002960,-0.001905,-0.004953,-0.017438,-0.019001,-0.012978,0.012437,-0.008972,0.008170,0.001952,-0.001756,0.004434,-0.004443,0.001806
0.019096,0.019238,0.000086,0.000155,0.003373,0.000989,-0.014917,-0.016247,-0.013285,0.012826,-0.006482,0.005947,0.007089,-0.006889,-0.002138,0.001117,-0.006776
0.021514,0.021554,0.002976,0.003174,0.000465,-0.002292,-0.016113,-0.017550,-0.012937,0.012385,-0.008990,0.008203,0.001946,-0.001773,0.004534,-0.004766,-0.001979
0.025828,-0.012645,0.000027,-0.004242,0.144396,-0.129825,-0.130808,0.144817,-0.301054,-0.268818,0.511723,0.492345,-0.213412,-0.219646,-0.009454,-0.014799,-0.010117
-0.050841,0.050501,0.038228,-0.037437,-0.044706,0.041949,0.031699,-0.038257,0.358169,0.373361,0.181091,0.180371,-0.465223,-0.491527,0.026449,0.017995,0.024880
-0.044242,0.043110,-0.058083,0.057789,-0.031356,0.031410,0.033511,-0.038149,0.325628,0.355093,0.443661,0.480912,0.260187,0.272660,-0.033800,-0.027283,0.016769
-0.228825,0.235049,0.016958,-0.021802,0.079746,-0.079040,0.073623,-0.049776,-0.097381,-0.101891,-0.051798,-0.058029,0.026207,0.034224,0.037883,-0.013107,-0.893104
0.176355,-0.179388,-0.161117,0.167646,0.086767,-0.079960,0.055408,-0.035651,-0.430792,-0.432438,0.016998,0.003966,0.179390,0.133479,0.537050,0.568514,0.567334
0.118774,-0.118583,0.165237,-0.170480,-0.015445,0.011981,-0.050049,0.043789,-0.436904,-0.448308,-0.152709,-0.183227,-0.200767,-0.162927,-0.576935,-0.555559,0.351317
