 (0+0j), (416316576516+0j), (0+0j), (0+0j), (-42927237557+0j), (0+0j), (0+0j), (0+0j), (0+0j), (0+0j), (0+0j), (0+0j), (-1239+1845258j), (0+0j), (4230+12100760j)
 (0+0j), (0+0j), (-44740372344+0j), (0+0j), (0+0j), (0+0j), (0+0j), (0+0j), (3799445250+0j), (0+0j), (14935+21074327j), (-1239-1845258j), (0+0j), (0+0j), (0+0j)
 (485764213499+0j), (0+0j), (0+0j), (0+0j), (-42927237557+0j), (0+0j), (0+0j), (-466500829+0j), (0+0j), (0+0j), (0+0j), (0+0j), (0+0j), (4230-12100760j), (0+0j)
