  21442.7107-1.2075334i  
  21443.6121-0.693401896i
 -10737.8818-18530.027i  
 -10697.3028+18567.0221i 
  21453.4394-13.8515203i 
 -10738.2723-18527.8172i 
 -10696.9675+18567.6421i 
0.0656282189-1.31760417i 
  3.37843602+3.67973376i 
    1.056125-2.32953151i 
0.0301388852-0.248019366i
-0.696984418-1.57005565i 
-0.831641788-0.503526178i
